hanzi,pinyin,pinyinToneless,tone
眛,mèi,mei,4
艑,biàn,bian,4
藄,qí,qi,2
棌,cǎi,cai,3
奙,běn,ben,3
缧,léi,lei,2
焱,yàn,yan,4
㢌,㢌,㢌,
塚,zhǒng,zhong,3
佌,cǐ,ci,3
惇,dūn,dun,1
倛,qī,qi,1
䄂,lìu,liu,4
䧒,lái,lai,2
㕡,hé,he,2
埸,yì,yi,4
鑉,tà,ta,4
敡,yì,yi,4
㺢,㺢,㺢,
瀁,yàng,yang,4
乄,乄,乄,
蚀,shí,shi,2
瞐,mào,mao,4
鞘,qiào,qiao,4
靑,qīng,qing,1
㜂,㜂,㜂,
觚,gū,gu,1
過,guò,guo,4
濹,濹,濹,
鑧,鑧,鑧,
㖤,hán,han,2
淒,qī,qi,1
载,zài,zai,4
飀,líu,liu,2
䯅,niè,nie,4
塻,mò,mo,4
橣,nǐng,ning,3
升,shēng,sheng,1
㐗,㐗,㐗,
豯,xī,xi,1
閒,xián,xian,2
䴔,jiāo,jiao,1
㞮,㞮,㞮,
嗅,xìu,xiu,4
泦,jú,ju,2
穤,nuò,nuo,4
㦬,luǒ,luo,3
瑁,mào,mao,4
䯇,䯇,䯇,
怶,pī,pi,1
柤,zhā,zha,1
依,yī,yi,1
㦩,yǐn,yin,3
扺,zhǐ,zhi,3
䟮,fú,fu,2
縌,nì,ni,4
㸂,㸂,㸂,
萣,萣,萣,
㣄,qú,qu,2
茄,qié,qie,2
榌,榌,榌,
堰,yàn,yan,4
廳,tīng,ting,1
椖,péng,peng,2
翇,fú,fu,2
襛,nóng,nong,2
㻄,bǎo,bao,3
镢,jué,jue,2
䇍,chuò,chuo,4
䶼,䶼,䶼,
施,shī,shi,1
䱐,䱐,䱐,
跎,tuó,tuo,2
注,zhù,zhu,4
鹀,wú,wu,2
鐋,tàng,tang,4
鏰,bèng,beng,4
鿎,鿎,鿎,
袇,rán,ran,2
厫,áo,ao,2
锋,fēng,feng,1
縸,mò,mo,4
谫,jiǎn,jian,3
汸,fāng,fang,1
西,xī,xi,1
馎,bó,bo,2
䟋,zhǎn,zhan,3
㔺,shì,shi,4
麺,miàn,mian,4
迋,wàng,wang,4
烀,hū,hu,1
暄,xuān,xuan,1
謤,biāo,biao,1
䜷,䜷,䜷,
䡿,líng,ling,2
腋,yì,yi,4
櫸,jǔ,ju,3
爻,yáo,yao,2
泃,jù,ju,4
匶,jìu,jiu,4
狣,zhào,zhao,4
韍,fú,fu,2
蚞,mù,mu,4
晱,shǎn,shan,3
趮,zào,zao,4
庡,yǐ,yi,3
䆿,yì,yi,4
身,shēn,shen,1
㢅,lòng,long,4
哏,hěn,hen,3
蔁,zhāng,zhang,1
䭧,mǐ,mi,3
䩢,dá,da,2
