hanzi,trad,simp,pinyin,toneless,tone,zhuyin
䙫,䙫,䙫,䙫,䙫,,
䙝,䙝,䙝,xiè,xie,4,ㄒㄧㄝ
宲,宲,宲,bǎo,bao,3,ㄅㄠ
藙,藙,藙,yì,yi,4,ㄧ
巹,巹,卺,jǐn,jin,3,ㄐㄧㄣ
揱,揱,揱,shuò,shuo,4,ㄕㄨㄛ
埛,埛,埛,jiōng,jiong,1,ㄐㄩㄥ
䍱,䍱,䍱,xú,xu,2,ㄒㄩ
雺,雺,雺,méng,meng,2,ㄇㄥ
䶺,䶺,䶺,䶺,䶺,,
髎,髎,髎,liáo,liao,2,ㄌㄧㄠ
峣,嶢,峣,yáo,yao,2,ㄧㄠ
拘,拘,拘,jū,ju,1,ㄐㄩ
㔶,㔶,㔶,gòng,gong,4,ㄍㄨㄥ
芛,芛,芛,wěi,wei,3,ㄨㄟ
籶,籶,籶,shēn,shen,1,ㄕㄣ
䗆,䗆,䗆,guǎn,guan,3,ㄍㄨㄢ
灢,灢,灢,nǎng,nang,3,ㄋㄤ
㨋,㨋,㨋,chě,che,3,ㄔㄜ
竕,竕,竕,竕,竕,,
偧,偧,偧,zhā,zha,1,ㄓㄚ
抅,抅,抅,jū,ju,1,ㄐㄩ
㰢,㰢,㰢,㰢,㰢,,
貵,貵,貵,piǎn,pian,3,ㄆㄧㄢ
终,終,终,zhōng,zhong,1,ㄓㄨㄥ
墱,墱,墱,dèng,deng,4,ㄉㄥ
奚,奚,奚,xī,xi,1,ㄒㄧ
駞,駞,駞,tuó,tuo,2,ㄊㄨㄛ
奦,奦,奦,wù,wu,4,ㄨ
秉,秉,秉,bǐng,bing,3,ㄅㄧㄥ
蜃,蜃,蜃,shèn,shen,4,ㄕㄣ
㸁,㸁,㸁,hǎn,han,3,ㄏㄢ
㝐,㝐,㝐,róng,rong,2,ㄖㄨㄥ
閡,閡,阂,hé,he,2,ㄏㄜ
㫿,㫿,㫿,㫿,㫿,,
䰸,䰸,䰸,䰸,䰸,,
蠷,蠷,蠷,qú,qu,2,ㄑㄩ
罜,罜,罜,zhǔ,zhu,3,ㄓㄨ
稉,稉,稉,gēng,geng,1,ㄍㄥ
頻,頻,频,pín,pin,2,ㄆㄧㄣ
蕏,蕏,蕏,chú,chu,2,ㄔㄨ
㿁,㿁,㿁,㿁,㿁,,
営,営,営,yíng,ying,2,ㄧㄥ
䝤,䝤,䝤,lǎo,lao,3,ㄌㄠ
䇧,䇧,䇧,zhù,zhu,4,ㄓㄨ
碨,碨,碨,wēi,wei,1,ㄨㄟ
倽,倽,倽,shà,sha,4,ㄕㄚ
䱧,䱧,䱧,䱧,䱧,,
氧,氧,氧,yǎng,yang,3,ㄧㄤ
蛤,蛤,蛤,há,ha,2,ㄏㄚ
杺,杺,杺,xīn,xin,1,ㄒㄧㄣ
佞,佞,佞,nìng,ning,4,ㄋㄧㄥ
氪,氪,氪,kè,ke,4,ㄎㄜ
蝝,蝝,蝝,yuán,yuan,2,ㄩㄢ
箭,箭,箭,jiàn,jian,4,ㄐㄧㄢ
掿,掿,掿,nuò,nuo,4,ㄋㄨㄛ
晟,晟,晟,shèng,sheng,4,ㄕㄥ
盌,盌,盌,wǎn,wan,3,ㄨㄢ
顈,顈,顈,jiǒng,jiong,3,ㄐㄩㄥ
嬥,嬥,嬥,tiǎo,tiao,3,ㄊㄧㄠ
扡,扡,扦,yǐ,yi,3,ㄧ
蓡,蓡,蓡,cān,can,1,ㄘㄢ
钟,鍾,钟,zhōng,zhong,1,ㄓㄨㄥ
炥,炥,炥,fú,fu,2,ㄈㄨ
㪨,㪨,㪨,shàn,shan,4,ㄕㄢ
鲟,鱘,鲟,xún,xun,2,ㄒㄩㄣ
䭘,䭘,䭘,yàn,yan,4,ㄧㄢ
脔,臠,脔,luán,luan,2,ㄌㄨㄢ
某,某,某,mǒu,mou,3,ㄇㄡ
渉,渉,渉,shè,she,4,ㄕㄜ
鷏,鷏,鷏,tián,tian,2,ㄊㄧㄢ
涢,溳,涢,yún,yun,2,ㄩㄣ
销,銷,销,xiāo,xiao,1,ㄒㄧㄠ
肉,肉,肉,ròu,rou,4,ㄖㄡ
䒻,䒻,䒻,qǐ,qi,3,ㄑㄧ
攚,攚,攚,攚,攚,,
貏,貏,貏,bǐ,bi,3,ㄅㄧ
匆,匆,匆,cōng,cong,1,ㄘㄨㄥ
羙,羙,羙,gāo,gao,1,ㄍㄠ
軘,軘,軘,tún,tun,2,ㄊㄨㄣ
唝,嗊,唝,hǒng,hong,3,ㄏㄨㄥ
孆,孆,孆,yīng,ying,1,ㄧㄥ
㷴,㷴,㷴,gé,ge,2,ㄍㄜ
偎,偎,偎,wēi,wei,1,ㄨㄟ
紴,紴,紴,bèi,bei,4,ㄅㄟ
炇,炇,炇,pò,po,4,ㄆㄛ
䉕,䉕,䉕,céng,ceng,2,ㄘㄥ
寻,尋,寻,xún,xun,2,ㄒㄩㄣ
枬,枬,枬,nán,nan,2,ㄋㄢ
髈,髈,髈,páng,pang,2,ㄆㄤ
㬋,㬋,㬋,hóu,hou,2,ㄏㄡ
稢,稢,稢,yù,yu,4,ㄩ
薼,薼,薼,chén,chen,2,ㄔㄣ
鼱,鼱,鼱,jīng,jing,1,ㄐㄧㄥ
冉,冉,冉,rǎn,ran,3,ㄖㄢ
瘼,瘼,瘼,mò,mo,4,ㄇㄛ
嗬,嗬,呵,hē,he,1,ㄏㄜ
闒,闒,阘,tà,ta,4,ㄊㄚ
棜,棜,棜,yù,yu,4,ㄩ
瞏,瞏,瞏,qióng,qiong,2,ㄑㄩㄥ
溼,溼,溼,shī,shi,1,ㄕ
泧,泧,泧,yuè,yue,4,ㄩㄝ
犒,犒,犒,kào,kao,4,ㄎㄠ
贗,贗,赝,yàn,yan,4,ㄧㄢ
堘,堘,堘,chéng,cheng,2,ㄔㄥ
碝,碝,碝,ruǎn,ruan,3,ㄖㄨㄢ
鋟,鋟,锓,qiān,qian,1,ㄑㄧㄢ
桽,桽,桽,wěn,wen,3,ㄨㄣ
䐚,䐚,䐚,jí,ji,2,ㄐㄧ
臐,臐,臐,xūn,xun,1,ㄒㄩㄣ
萤,螢,萤,yíng,ying,2,ㄧㄥ
揈,揈,揈,hōng,hong,1,ㄏㄨㄥ
堅,堅,坚,jiān,jian,1,ㄐㄧㄢ
畠,畠,畠,畠,畠,,
侠,俠,侠,xiá,xia,2,ㄒㄧㄚ
齚,齚,齚,cuò,cuo,4,ㄘㄨㄛ
歋,歋,歋,yí,yi,2,ㄧ
絼,絼,絼,zhěn,zhen,3,ㄓㄣ
徴,徴,徴,zhēng,zheng,1,ㄓㄥ
瀔,瀔,瀔,gǔ,gu,3,ㄍㄨ
诈,詐,诈,zhà,zha,4,ㄓㄚ
刚,剛,刚,gāng,gang,1,ㄍㄤ
谕,諭,谕,yù,yu,4,ㄩ
㯵,㯵,㯵,㯵,㯵,,
洝,洝,洝,àn,an,4,ㄢ
笶,笶,笶,shǐ,shi,3,ㄕ
欢,歡,欢,huān,huan,1,ㄏㄨㄢ
㐊,㐊,㐊,㐊,㐊,,
蛠,蛠,蛠,lì,li,4,ㄌㄧ
鯐,鯐,鯐,鯐,鯐,,
梹,梹,梹,bīng,bing,1,ㄅㄧㄥ
鸦,鴉,鸦,yā,ya,1,ㄧㄚ
懲,懲,惩,chéng,cheng,2,ㄔㄥ
㬏,㬏,㬏,lì,li,4,ㄌㄧ
骣,驏,骣,chǎn,chan,3,ㄔㄢ
鳸,鳸,鳸,hù,hu,4,ㄏㄨ
鈜,鈜,鈜,hóng,hong,2,ㄏㄨㄥ
涨,漲,涨,zhǎng,zhang,3,ㄓㄤ
跘,跘,跘,pán,pan,2,ㄆㄢ
䅊,䅊,䅊,dù,du,4,ㄉㄨ
讝,讝,讝,zhān,zhan,1,ㄓㄢ
䈊,䈊,䈊,líng,ling,2,ㄌㄧㄥ
倻,倻,倻,yē,ye,1,ㄧㄝ
䎏,䎏,䎏,àn,an,4,ㄢ
㞀,㞀,㞀,㞀,㞀,,
鐭,鐭,鐭,yù,yu,4,ㄩ
岸,岸,岸,àn,an,4,ㄢ
瘫,癱,瘫,tān,tan,1,ㄊㄢ
昷,昷,昷,wēn,wen,1,ㄨㄣ
總,總,总,zǒng,zong,3,ㄗㄨㄥ
㴭,㴭,㴭,yǎo,yao,3,ㄧㄠ
畖,畖,畖,wā,wa,1,ㄨㄚ
鮿,鮿,鮿,zhé,zhe,2,ㄓㄜ
憯,憯,憯,cǎn,can,3,ㄘㄢ
憹,憹,憹,náo,nao,2,ㄋㄠ
觎,覦,觎,yú,yu,2,ㄩ
岪,岪,岪,fú,fu,2,ㄈㄨ
楼,樓,楼,lóu,lou,2,ㄌㄡ
㭳,㭳,㭳,㭳,㭳,,
曊,曊,曊,fèi,fei,4,ㄈㄟ
䇨,䇨,䇨,gòng,gong,4,ㄍㄨㄥ
圻,圻,圻,qí,qi,2,ㄑㄧ
祱,祱,祱,shùi,shui,4,ㄕㄨㄟ
剗,剗,刬,chǎn,chan,3,ㄔㄢ
倒,倒,倒,dǎo,dao,3,ㄉㄠ
虎,虎,虎,hǔ,hu,3,ㄏㄨ
捡,撿,捡,jiǎn,jian,3,ㄐㄧㄢ
茍,茍,茍,jì,ji,4,ㄐㄧ
㺬,㺬,㺬,gǒng,gong,3,ㄍㄨㄥ
堾,堾,堾,chuǎn,chuan,3,ㄔㄨㄢ
荻,荻,荻,dí,di,2,ㄉㄧ
䱏,䱏,䱏,tǒu,tou,3,ㄊㄡ
㽠,㽠,㽠,xiá,xia,2,ㄒㄧㄚ
㮅,㮅,㮅,㮅,㮅,,
䜓,䜓,䜓,niè,nie,4,ㄋㄧㄝ
吴,吳,吴,wú,wu,2,ㄨ
䞳,䞳,䞳,bó,bo,2,ㄅㄛ
掑,掑,掑,qí,qi,2,ㄑㄧ
蠼,蠼,蠼,jué,jue,2,ㄐㄩㄝ
溏,溏,溏,táng,tang,2,ㄊㄤ
䖴,䖴,䖴,yáo,yao,2,ㄧㄠ
幱,幱,幱,lán,lan,2,ㄌㄢ
䃮,䃮,䃮,dá,da,2,ㄉㄚ
靹,靹,靹,nà,na,4,ㄋㄚ
㸪,㸪,㸪,chún,chun,2,ㄔㄨㄣ
睒,睒,睒,shǎn,shan,3,ㄕㄢ
䤴,䤴,䤴,hán,han,2,ㄏㄢ
煀,煀,煀,煀,煀,,
洗,洗,洗,xǐ,xi,3,ㄒㄧ
姛,姛,姛,tǒng,tong,3,ㄊㄨㄥ
薂,薂,薂,xí,xi,2,ㄒㄧ
䌸,䌸,䌸,juàn,juan,4,ㄐㄩㄢ
䂎,䂎,䂎,zuǎn,zuan,3,ㄗㄨㄢ
瓌,瓌,瓌,gūi,gui,1,ㄍㄨㄟ
辻,辻,辻,辻,辻,,
脅,脅,胁,xié,xie,2,ㄒㄧㄝ
澾,澾,㳠,tà,ta,4,ㄊㄚ
珦,珦,珦,xiàng,xiang,4,ㄒㄧㄤ
衅,釁,衅,xìn,xin,4,ㄒㄧㄣ
贎,贎,贎,wàn,wan,4,ㄨㄢ
秠,秠,秠,pī,pi,1,ㄆㄧ
㪃,㪃,㪃,kě,ke,3,ㄎㄜ
档,檔,档,dǎng,dang,3,ㄉㄤ
尡,尡,尡,尡,尡,,
瑏,瑏,瑏,chuān,chuan,1,ㄔㄨㄢ
灧,灧,滟,yàn,yan,4,ㄧㄢ
䜚,䜚,䜚,tà,ta,4,ㄊㄚ
瀆,瀆,渎,dú,du,2,ㄉㄨ
詘,詘,诎,qū,qu,1,ㄑㄩ
颋,頲,颋,tian,tian,5,ㄊㄧㄢ
櫷,櫷,櫷,櫷,櫷,,
䁒,䁒,䁒,jí,ji,2,ㄐㄧ
挦,撏,挦,xún,xun,2,ㄒㄩㄣ
烾,烾,烾,chì,chi,4,ㄔ
樶,樶,樶,zūi,zui,1,ㄗㄨㄟ
蟷,蟷,蟷,dāng,dang,1,ㄉㄤ
铥,銩,铥,dīu,diu,1,ㄉㄧㄡ
螬,螬,螬,cáo,cao,2,ㄘㄠ
䒸,䒸,䒸,xián,xian,2,ㄒㄧㄢ
鲅,鮁,鲅,bō,bo,1,ㄅㄛ
蝈,蟈,蝈,guō,guo,1,ㄍㄨㄛ
吒,吒,咤,zhà,zha,4,ㄓㄚ
粧,粧,粧,zhuāng,zhuang,1,ㄓㄨㄤ
叱,叱,叱,chì,chi,4,ㄔ
痾,痾,痾,ē,e,1,ㄜ
癏,癏,癏,guān,guan,1,ㄍㄨㄢ
䖉,䖉,䖉,䖉,䖉,,
䖱,䖱,䖱,䖱,䖱,,
䝱,䝱,䝱,䝱,䝱,,
䥘,䥘,䥘,cù,cu,4,ㄘㄨ
冦,冦,冦,kòu,kou,4,ㄎㄡ
㘪,㘪,㘪,hào,hao,4,ㄏㄠ
䩖,䩖,䩖,䩖,䩖,,
䶂,䶂,䶂,zhuó,zhuo,2,ㄓㄨㄛ
悽,悽,悽,qī,qi,1,ㄑㄧ
瓬,瓬,瓬,fǎng,fang,3,ㄈㄤ
荔,荔,荔,lì,li,4,ㄌㄧ
贊,贊,赞,zàn,zan,4,ㄗㄢ
繒,繒,缯,zēng,zeng,1,ㄗㄥ
㻭,㻭,㻭,sè,se,4,ㄙㄜ
䎚,䎚,䎚,guàn,guan,4,ㄍㄨㄢ
亷,亷,亷,lián,lian,2,ㄌㄧㄢ
泮,泮,泮,pàn,pan,4,ㄆㄢ
骛,騖,骛,wù,wu,4,ㄨ
訚,訚,訚,yín,yin,2,ㄧㄣ
靏,靏,靏,hè,he,4,ㄏㄜ
㧇,㧇,㧇,mǎo,mao,3,ㄇㄠ
琯,琯,琯,guǎn,guan,3,ㄍㄨㄢ
樚,樚,樚,lù,lu,4,ㄌㄨ
籑,籑,籑,zhuàn,zhuan,4,ㄓㄨㄢ
蛜,蛜,蛜,yī,yi,1,ㄧ
咺,咺,咺,xuǎn,xuan,3,ㄒㄩㄢ
榠,榠,榠,míng,ming,2,ㄇㄧㄥ
蹞,蹞,蹞,kǔi,kui,3,ㄎㄨㄟ
䗍,䗍,䗍,lǐ,li,3,ㄌㄧ
須,須,须,xū,xu,1,ㄒㄩ
籏,籏,籏,籏,籏,,
與,與,与,yǔ,yu,3,ㄩ
㖃,㖃,㖃,hǒu,hou,3,ㄏㄡ
辧,辧,辧,biàn,bian,4,ㄅㄧㄢ
留,留,留,líu,liu,2,ㄌㄧㄡ
桂,桂,桂,gùi,gui,4,ㄍㄨㄟ
㝯,㝯,㝯,qiáo,qiao,2,ㄑㄧㄠ
旲,旲,旲,tái,tai,2,ㄊㄞ
䂒,䂒,䂒,jié,jie,2,ㄐㄧㄝ
橪,橪,橪,rǎn,ran,3,ㄖㄢ
勫,勫,勫,fán,fan,2,ㄈㄢ
庖,庖,庖,páo,pao,2,ㄆㄠ
巩,鞏,巩,gǒng,gong,3,ㄍㄨㄥ
昅,昅,昅,jié,jie,2,ㄐㄧㄝ
諗,諗,谂,shěn,shen,3,ㄕㄣ
㫀,㫀,㫀,dǐng,ding,3,ㄉㄧㄥ
対,対,対,dùi,dui,4,ㄉㄨㄟ
喺,喺,喺,xì,xi,4,ㄒㄧ
腍,腍,腍,rěn,ren,3,ㄖㄣ
洙,洙,洙,zhū,zhu,1,ㄓㄨ
鼆,鼆,鼆,máng,mang,2,ㄇㄤ
脋,脋,脋,脋,脋,,
災,災,灾,zāi,zai,1,ㄗㄞ
怚,怚,怚,jù,ju,4,ㄐㄩ
抋,抋,抋,qìn,qin,4,ㄑㄧㄣ
㛉,㛉,㛉,㛉,㛉,,
䋧,䋧,䋧,qú,qu,2,ㄑㄩ
䱲,䱲,䱲,yán,yan,2,ㄧㄢ
㐧,㐧,㐧,㐧,㐧,,
溍,溍,溍,jìn,jin,4,ㄐㄧㄣ
譻,譻,譻,yīng,ying,1,ㄧㄥ
肼,肼,肼,jǐng,jing,3,ㄐㄧㄥ
菄,菄,菄,dōng,dong,1,ㄉㄨㄥ
埌,埌,埌,làng,lang,4,ㄌㄤ
䈤,䈤,䈤,qián,qian,2,ㄑㄧㄢ
櫁,櫁,櫁,mì,mi,4,ㄇㄧ
㤱,㤱,㤱,fù,fu,4,ㄈㄨ
瑮,瑮,瑮,lì,li,4,ㄌㄧ
丼,丼,丼,jǐng,jing,3,ㄐㄧㄥ
㱦,㱦,㱦,è,e,4,ㄜ
敂,敂,敂,kòu,kou,4,ㄎㄡ
蘸,蘸,蘸,zhàn,zhan,4,ㄓㄢ
㫼,㫼,㫼,dié,die,2,ㄉㄧㄝ
霗,霗,霗,霗,霗,,
㹋,㹋,㹋,㹋,㹋,,
鳙,鱅,鳙,yóng,yong,2,ㄩㄥ
岛,島,岛,dǎo,dao,3,ㄉㄠ
遷,遷,迁,qiān,qian,1,ㄑㄧㄢ
驢,驢,驴,lǘ,lü,2,ㄌㄩ
卝,卝,卝,kuàng,kuang,4,ㄎㄨㄤ
橌,橌,橌,xiàn,xian,4,ㄒㄧㄢ
閉,閉,闭,bì,bi,4,ㄅㄧ
諧,諧,谐,xié,xie,2,ㄒㄧㄝ
䈍,䈍,䈍,máng,mang,2,ㄇㄤ
㰎,㰎,㰎,zùi,zui,4,ㄗㄨㄟ
炒,炒,炒,chǎo,chao,3,ㄔㄠ
焟,焟,焟,xí,xi,2,ㄒㄧ
㹯,㹯,㹯,㹯,㹯,,
蔞,蔞,蒌,lóu,lou,2,ㄌㄡ
斐,斐,斐,fěi,fei,3,ㄈㄟ
鉡,鉡,鉡,bàn,ban,4,ㄅㄢ
嬡,嬡,嫒,ài,ai,4,ㄞ
仧,仧,仧,cháng,chang,2,ㄔㄤ
鏈,鏈,链,liàn,lian,4,ㄌㄧㄢ
攺,攺,攺,yǐ,yi,3,ㄧ
蘶,蘶,蘶,wèi,wei,4,ㄨㄟ
骂,罵,骂,mà,ma,4,ㄇㄚ
晙,晙,晙,jùn,jun,4,ㄐㄩㄣ
泟,泟,泟,chēng,cheng,1,ㄔㄥ
㘅,㘅,㘅,xián,xian,2,ㄒㄧㄢ
鼧,鼧,鼧,tuó,tuo,2,ㄊㄨㄛ
觛,觛,觛,dàn,dan,4,ㄉㄢ
臯,臯,臯,gāo,gao,1,ㄍㄠ
乬,乬,乬,乬,乬,,
蛽,蛽,蛽,bài,bai,4,ㄅㄞ
妼,妼,妼,bì,bi,4,ㄅㄧ
褜,褜,褜,褜,褜,,
㺲,㺲,㺲,nǐu,niu,3,ㄋㄧㄡ
迀,迀,迀,gān,gan,1,ㄍㄢ
餏,餏,饻,yī,yi,1,ㄧ
嶢,嶢,峣,yáo,yao,2,ㄧㄠ
緶,緶,缏,biàn,bian,4,ㄅㄧㄢ
䎸,䎸,䎸,wù,wu,4,ㄨ
漀,漀,漀,qìng,qing,4,ㄑㄧㄥ
䨣,䨣,䨣,gé,ge,2,ㄍㄜ
滀,滀,滀,chù,chu,4,ㄔㄨ
䫣,䫣,䫣,xí,xi,2,ㄒㄧ
枔,枔,枔,xún,xun,2,ㄒㄩㄣ
䭲,䭲,䭲,nǐ,ni,3,ㄋㄧ
燘,燘,燘,měi,mei,3,ㄇㄟ
㷶,㷶,㷶,bèi,bei,4,ㄅㄟ
㠔,㠔,㠔,bài,bai,4,ㄅㄞ
詐,詐,诈,zhà,zha,4,ㄓㄚ
鴼,鴼,鴼,luò,luo,4,ㄌㄨㄛ
絸,絸,絸,jiǎn,jian,3,ㄐㄧㄢ
攖,攖,撄,yīng,ying,1,ㄧㄥ
倴,倴,倴,bèn,ben,4,ㄅㄣ
䤘,䤘,䤘,chǎn,chan,3,ㄔㄢ
㛀,㛀,㛀,㛀,㛀,,
瀇,瀇,瀇,wǎng,wang,3,ㄨㄤ
伮,伮,伮,nú,nu,2,ㄋㄨ
䧝,䧝,䧝,dì,di,4,ㄉㄧ
埥,埥,埥,chēng,cheng,1,ㄔㄥ
嬢,嬢,嬢,niáng,niang,2,ㄋㄧㄤ
㗂,㗂,㗂,shěng,sheng,3,ㄕㄥ
樹,樹,树,shù,shu,4,ㄕㄨ
褨,褨,褨,suǒ,suo,3,ㄙㄨㄛ
噺,噺,噺,噺,噺,,
錭,錭,錭,táo,tao,2,ㄊㄠ
㰓,㰓,㰓,㰓,㰓,,
踔,踔,踔,zhuó,zhuo,2,ㄓㄨㄛ
㖜,㖜,㖜,㖜,㖜,,
憰,憰,憰,jué,jue,2,ㄐㄩㄝ
庍,庍,庍,bài,bai,4,ㄅㄞ
譧,譧,譧,lián,lian,2,ㄌㄧㄢ
蕶,蕶,蕶,líng,ling,2,ㄌㄧㄥ
醻,醻,醻,chóu,chou,2,ㄔㄡ
砒,砒,砒,pī,pi,1,ㄆㄧ
䓾,䓾,䓾,䓾,䓾,,
萻,萻,萻,ān,an,1,ㄢ
㥏,㥏,㥏,tiǎn,tian,3,ㄊㄧㄢ
唊,唊,唊,jiá,jia,2,ㄐㄧㄚ
悈,悈,悈,jiè,jie,4,ㄐㄧㄝ
蚈,蚈,蚈,qiān,qian,1,ㄑㄧㄢ
垑,垑,垑,chǐ,chi,3,ㄔ
醳,醳,醳,yì,yi,4,ㄧ
衺,衺,衺,xié,xie,2,ㄒㄧㄝ
轵,軹,轵,zhǐ,zhi,3,ㄓ
胚,胚,胚,pēi,pei,1,ㄆㄟ
氉,氉,氉,sào,sao,4,ㄙㄠ
境,境,境,jìng,jing,4,ㄐㄧㄥ
劎,劎,劎,jiàn,jian,4,ㄐㄧㄢ
猯,猯,猯,tuān,tuan,1,ㄊㄨㄢ
緞,緞,缎,duàn,duan,4,ㄉㄨㄢ
洧,洧,洧,wěi,wei,3,ㄨㄟ
秱,秱,秱,tóng,tong,2,ㄊㄨㄥ
䉡,䉡,䉡,tán,tan,2,ㄊㄢ
䛱,䛱,䛱,tí,ti,2,ㄊㄧ
帒,帒,帒,dài,dai,4,ㄉㄞ
碴,碴,碴,chá,cha,2,ㄔㄚ
翼,翼,翼,yì,yi,4,ㄧ
聝,聝,聝,guó,guo,2,ㄍㄨㄛ
嶄,嶄,崭,zhǎn,zhan,3,ㄓㄢ
淳,淳,淳,chún,chun,2,ㄔㄨㄣ
䢲,䢲,䢲,yuè,yue,4,ㄩㄝ
鿾,鿾,鿾,鿾,鿾,,
䁄,䁄,䁄,xìng,xing,4,ㄒㄧㄥ
䖦,䖦,䖦,䖦,䖦,,
琹,琹,琹,qín,qin,2,ㄑㄧㄣ
䫌,䫌,䫌,pǐ,pi,3,ㄆㄧ
覨,覨,覨,è,e,4,ㄜ
炂,炂,炂,zhōng,zhong,1,ㄓㄨㄥ
幩,幩,幩,fén,fen,2,ㄈㄣ
㡂,㡂,㡂,lì,li,4,ㄌㄧ
壙,壙,圹,kuàng,kuang,4,ㄎㄨㄤ
蓩,蓩,蓩,mào,mao,4,ㄇㄠ
焏,焏,焏,jí,ji,2,ㄐㄧ
婯,婯,婯,lì,li,4,ㄌㄧ
訷,訷,訷,shēn,shen,1,ㄕㄣ
壓,壓,压,yā,ya,1,ㄧㄚ
㓨,㓨,㓨,cí,ci,2,ㄘ
屈,屈,屈,qū,qu,1,ㄑㄩ
㟚,㟚,㟚,qí,qi,2,ㄑㄧ
燚,燚,燚,yī,yi,1,ㄧ
㧦,㧦,㧦,xuàn,xuan,4,ㄒㄩㄢ
䙜,䙜,䙜,féng,feng,2,ㄈㄥ
䵅,䵅,䵅,áo,ao,2,ㄠ
䠬,䠬,䠬,dèng,deng,4,ㄉㄥ
险,險,险,xiǎn,xian,3,ㄒㄧㄢ
䴗,鶪,䴗,jú,ju,2,ㄐㄩ
䃢,䃢,䃢,䃢,䃢,,
掮,掮,掮,qián,qian,2,ㄑㄧㄢ
璓,璓,璓,璓,璓,,
駟,駟,驷,sì,si,4,ㄙ
勃,勃,勃,bó,bo,2,ㄅㄛ
㳜,㳜,㳜,㳜,㳜,,
䗏,䗏,䗏,䗏,䗏,,
圧,圧,圧,yā,ya,1,ㄧㄚ
跥,跥,跥,duò,duo,4,ㄉㄨㄛ
黥,黥,黥,qíng,qing,2,ㄑㄧㄥ
䖷,䖷,䖷,䖷,䖷,,
淬,淬,淬,cùi,cui,4,ㄘㄨㄟ
鳇,鰉,鳇,huáng,huang,2,ㄏㄨㄤ
㽜,㽜,㽜,wǎn,wan,3,ㄨㄢ
㮦,㮦,㮦,sè,se,4,ㄙㄜ
趥,趥,趥,qīu,qiu,1,ㄑㄧㄡ
㑃,㑃,㑃,ǎo,ao,3,ㄠ
擈,擈,擈,pū,pu,1,ㄆㄨ
䋡,䋡,䋡,䋡,䋡,,
犣,犣,犣,liè,lie,4,ㄌㄧㄝ
䰏,䰏,䰏,jì,ji,4,ㄐㄧ
㒩,㒩,㒩,luǒ,luo,3,ㄌㄨㄛ
㜌,㜌,㜌,gòu,gou,4,ㄍㄡ
㪑,㪑,㪑,yè,ye,4,ㄧㄝ
玕,玕,玕,gān,gan,1,ㄍㄢ
䥒,䥒,䥒,chóu,chou,2,ㄔㄡ
嗼,嗼,嗼,mò,mo,4,ㄇㄛ
芿,芿,芿,rèng,reng,4,ㄖㄥ
䇷,䇷,䇷,bǐ,bi,3,ㄅㄧ
埴,埴,埴,zhí,zhi,2,ㄓ
鴯,鴯,鸸,ér,er,2,ㄦ
鱈,鱈,鳕,xuě,xue,3,ㄒㄩㄝ
嘆,嘆,叹,tàn,tan,4,ㄊㄢ
䓉,䓉,䓉,yé,ye,2,ㄧㄝ
隵,隵,隵,xī,xi,1,ㄒㄧ
狴,狴,狴,bì,bi,4,ㄅㄧ
簗,簗,簗,簗,簗,,
喪,喪,丧,sāng,sang,1,ㄙㄤ
抭,抭,抭,yǎo,yao,3,ㄧㄠ
明,明,明,míng,ming,2,ㄇㄧㄥ
誣,誣,诬,wū,wu,1,ㄨ
㥵,㥵,㥵,hùn,hun,4,ㄏㄨㄣ
禰,禰,祢,nǐ,ni,3,ㄋㄧ
焾,焾,焾,焾,焾,,
蚪,蚪,蚪,dǒu,dou,3,ㄉㄡ
䠦,䠦,䠦,zhè,zhe,4,ㄓㄜ
魠,魠,魠,tuó,tuo,2,ㄊㄨㄛ
丝,絲,丝,sī,si,1,ㄙ
㷍,㷍,㷍,lún,lun,2,ㄌㄨㄣ
鵵,鵵,鵵,tù,tu,4,ㄊㄨ
薬,薬,薬,yào,yao,4,ㄧㄠ
䆬,䆬,䆬,yǔn,yun,3,ㄩㄣ
咻,咻,咻,xīu,xiu,1,ㄒㄧㄡ
皸,皸,皲,jūn,jun,1,ㄐㄩㄣ
遳,遳,遳,cuō,cuo,1,ㄘㄨㄛ
儗,儗,儗,nǐ,ni,3,ㄋㄧ
檶,檶,檶,qiān,qian,1,ㄑㄧㄢ
頧,頧,頧,dūi,dui,1,ㄉㄨㄟ
仹,仹,仹,fēng,feng,1,ㄈㄥ
嗄,嗄,嗄,á,a,2,ㄚ
栩,栩,栩,xǔ,xu,3,ㄒㄩ
㲄,㲄,㲄,kòu,kou,4,ㄎㄡ
㟝,㟝,㟝,péi,pei,2,ㄆㄟ
欩,欩,欩,chāo,chao,1,ㄔㄠ
夨,夨,夨,zè,ze,4,ㄗㄜ
鐱,鐱,鐱,qiān,qian,1,ㄑㄧㄢ
蘏,蘏,蘏,jiōng,jiong,1,ㄐㄩㄥ
譝,譝,譝,shéng,sheng,2,ㄕㄥ
髠,髠,髠,kūn,kun,1,ㄎㄨㄣ
干,乾,干,gān,gan,1,ㄍㄢ
罝,罝,罝,jū,ju,1,ㄐㄩ
衶,衶,衶,zhòng,zhong,4,ㄓㄨㄥ
隘,隘,隘,ài,ai,4,ㄞ
䫵,䫵,䫵,mián,mian,2,ㄇㄧㄢ
杢,杢,杢,杢,杢,,
鸃,鸃,鸃,yí,yi,2,ㄧ
䢡,䢡,䢡,xiè,xie,4,ㄒㄧㄝ
