hanzi,trad,simp,pinyin,toneless,tone,zhuyin
膮,膮,膮,xiāo,xiao,1,ㄒㄧㄠ
㠍,㠍,㠍,jí,ji,2,ㄐㄧ
䅪,䅪,䅪,túi,tui,2,ㄊㄨㄟ
䈌,䈌,䈌,䈌,䈌,,
鴇,鴇,鸨,bǎo,bao,3,ㄅㄠ
徜,徜,徜,cháng,chang,2,ㄔㄤ
皍,皍,皍,jí,ji,2,ㄐㄧ
圐,圐,圐,kū,ku,1,ㄎㄨ
薔,薔,蔷,qiáng,qiang,2,ㄑㄧㄤ
逃,逃,逃,táo,tao,2,ㄊㄠ
鬣,鬣,鬣,liè,lie,4,ㄌㄧㄝ
攦,攦,攦,lì,li,4,ㄌㄧ
泋,泋,泋,hùi,hui,4,ㄏㄨㄟ
㫾,㫾,㫾,㫾,㫾,,
卦,卦,卦,guà,gua,4,ㄍㄨㄚ
胏,胏,胏,zǐ,zi,3,ㄗ
欋,欋,欋,qú,qu,2,ㄑㄩ
疅,疅,疅,jiāng,jiang,1,ㄐㄧㄤ
袺,袺,袺,jié,jie,2,ㄐㄧㄝ
䀻,䀻,䀻,pìn,pin,4,ㄆㄧㄣ
谈,談,谈,tán,tan,2,ㄊㄢ
煯,煯,煯,煯,煯,,
杌,杌,杌,wù,wu,4,ㄨ
蚰,蚰,蚰,yóu,you,2,ㄧㄡ
亨,亨,亨,hēng,heng,1,ㄏㄥ
㴎,㴎,㴎,㴎,㴎,,
貞,貞,贞,zhēn,zhen,1,ㄓㄣ
䁴,䁴,䁴,zhǎn,zhan,3,ㄓㄢ
㖷,㖷,㖷,shí,shi,2,ㄕ
聯,聯,联,lián,lian,2,ㄌㄧㄢ
繖,繖,繖,sǎn,san,3,ㄙㄢ
京,京,京,jīng,jing,1,ㄐㄧㄥ
䏇,䏇,䏇,piào,piao,4,ㄆㄧㄠ
䲳,䲳,䲳,háng,hang,2,ㄏㄤ
㨜,㨜,㨜,qián,qian,2,ㄑㄧㄢ
蹒,蹣,蹒,mán,man,2,ㄇㄢ
釐,釐,釐,lí,li,2,ㄌㄧ
㫖,㫖,㫖,㫖,㫖,,
䇼,䇼,䇼,chì,chi,4,ㄔ
墄,墄,墄,qī,qi,1,ㄑㄧ
謂,謂,谓,wèi,wei,4,ㄨㄟ
苏,蘇,苏,sū,su,1,ㄙㄨ
鼑,鼑,鼑,dǐng,ding,3,ㄉㄧㄥ
肺,肺,肺,fèi,fei,4,ㄈㄟ
仝,仝,仝,tóng,tong,2,ㄊㄨㄥ
藥,藥,药,yào,yao,4,ㄧㄠ
耻,恥,耻,chǐ,chi,3,ㄔ
诱,誘,诱,yòu,you,4,ㄧㄡ
紶,紶,紶,qǔ,qu,3,ㄑㄩ
帔,帔,帔,pèi,pei,4,ㄆㄟ
